"Datalogi!";1998;"Skæbnesymfonien"
"Revy'n er slut!";1998;"Tubthumping"
"Åbningsrap";1997;"Arh der"
"RH1: Historie Starter";1997;"Science fiction - double feature"
"RH2: Så kører embla";1997;"Let's do the time warp again"
"RH3: Operatøren";1997;"Sweet Transvestite"
"RH4: Gør ham til en mand";1997;"I can make you a man"
"RH5: Tag mig";1997;"Touch Me"
"RH6: Søren Olsen";1997;"Whatever happened to saturday night"
"Fredagssang";1997;"Fredagssangen"
"StandardML";1997;"Norsk Black Metal"
"JHGMP";1997;"Jeg har købt en guitar"
"Eileen";1997;"Come on Eileen"
"Det var DIKU revyen";1997;"Don't cry for me Argentina"
"Java Java";1997;"Bananer, Bananer"
"Sirenen Tuder";1997;"Irene Mudder"
"Åbningssang";1996;"You Oughta Know"
"Jeg traf dig på nettet";1996;"Grow for me"
"Jeg er en datalog";1996;"Dentist"
"Pludselig Simon";1996;"Suddenly Seymour"
"Grumme grel bestyrer";1996;"Green Mean Mother from Outer Space"
"Det' meget pæner' i ML";1996;"Diggin' on James Brown"
"Eksamensdag";1996;"Enter Sandman"
"Censormanden";1996;"Sårhus"
"Leverpostej";1996;"Live and let die"
"DIKU-sommerfest";1996;"My boy lollipop"
"Fèvre";1996;"Fever"
"Slamkodervisen";1996;"We're not gonna take it"
"Slå røven i sædet";1995;"You can leave your hat on"
"Poul Kjøller's Greatest Cache Hits";1995;"Andreas Sang"
"Poul Kjøller's Greatest Cache Hits";1995;"Bakke Savvendt"
"Poul Kjøller's Greatest Cache Hits";1995;"Jeg er så glad for min cykel"
"Poul Kjøller's Greatest Cache Hits";1995;"Bondemanden"
"Poul Kjøller's Greatest Cache Hits";1995;"I Min Klasse"
"Sol & Sommer";1995;"Summer Nights"
"Hvad skal jeg med DKD?";1995;"Look At Me I'm Sandra Dee"
"Hvad skal jeg stille op?";1995;"There are worse things I could do"
"Kørende kerne";1995;"Greased Lightning"
"Doublespace mit hjerte";1995;"You're the one that I want"
"Musikmaskiner og audio...";1995;"We Will Rock You"
"Programtransformation";1995;"Jeg er på rekreation"
